date,ko_price_usd,pep_price_usd,residual_usd,z_score,ko_shares,pep_shares,gross_pnl_usd,transaction_cost_usd,borrow_cost_usd,financing_cost_usd,net_pnl_usd,equity_usd
2024-01-26,55.57733917236328,155.01646423339844,-0.8496563878342656,0.7490860267306347,-1860.64683229568,622.3960809045286,381.45833237808586,0.0,4.0890493301903446,18.994925500889376,358.3743575470061,93487.0622935017
2024-01-29,55.91435241699219,155.28424072265625,-0.6022157770763528,0.9731069209118743,-1860.64683229568,622.3960809045286,-460.3995885880274,0.0,4.103563495177791,19.14318250288576,-483.646334586091,93003.4159589156
2024-01-30,56.07349395751953,156.6417999267578,-0.8971848789142669,0.6491030649709469,-1860.64683229568,622.3960809045286,548.8333249598268,0.0,4.128446932719873,19.17625056587632,525.5286274612306,93528.94458637683
2024-01-31,55.6896858215332,155.6351776123047,-0.9442725945650139,0.5769773162346622,-1860.64683229568,622.3960809045286,87.61360896559995,0.0,4.140197178881335,19.343897297667723,64.12951448905089,93593.07410086588
2024-02-01,57.08449172973633,158.56263732910156,-0.5287172475724873,0.9737440120691118,-1860.64683229568,622.3960809045286,-773.2017400251875,0.0,4.111858631562595,19.219588213646563,-796.5331868703967,92796.54091399549
2024-02-02,56.67259979248047,157.88848876953125,-0.7151029715367514,0.7529142459439255,-1860.64683229568,622.3960809045286,346.79800687925007,0.0,4.214844393259637,19.58110397847598,323.00205850751445,93119.542972503
2024-02-05,56.20454406738281,157.8423309326172,-1.167718659170177,0.25629971080339065,-1860.64683229568,622.3960809045286,842.1579454424689,0.0,4.184432273088873,19.497852505971217,818.4756606634088,93938.0186331664
2024-02-06,56.110931396484375,158.30406188964844,-1.4157827461570633,-0.02850589820954065,0.0,0.0,461.55965765846304,101.465227235707,4.149873288872969,19.492152415336623,336.4524047185464,94274.47103788494
2024-02-07,56.15774154663086,158.35025024414062,-1.3844228417640352,-0.021445284473311597,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-08,56.007957458496094,160.54815673828125,-2.2694181287161115,-1.0260089888978365,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-09,55.75520324707031,154.84097290039062,-0.6130895458954697,0.8044878490320698,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-12,55.88626480102539,157.55604553222656,-1.3902339642370691,-0.12372762116320422,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-13,55.55862045288086,155.9584197998047,-1.1834641627685016,0.08768657874937584,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-14,55.5024528503418,154.7024688720703,-0.8195096219420677,0.5116113773786243,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-15,55.60542678833008,155.01646423339844,-0.8215687718674687,0.48329432984966464,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-16,55.596065521240234,153.5942840576172,-0.35520334414213295,1.075152306418565,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,94274.47103788494
2024-02-20,56.8223876953125,155.74600219726562,0.15135787686628532,1.7212424609731534,-1836.206038872802,614.2205078852104,0.0,100.0,-0.0,0.0,-100.0,94174.47103788494
2024-02-21,57.32788848876953,155.9122314453125,0.6012541188736265,2.2526106163189406,-1836.206038872802,614.2205078852104,-826.1021964400657,0.0,4.140381405924778,18.980632652915794,-849.2232104989063,93325.24782738603
2024-02-22,57.24364471435547,155.3766326904297,0.6961709246353891,2.2650906808789277,-1836.206038872802,614.2205078852104,-174.2868119302678,0.0,4.177214882496238,19.00089086981276,-197.46491768257678,93127.78290970346
2024-02-23,57.29043960571289,156.62330627441406,0.32594699255401594,1.6814540508416451,-1836.206038872802,614.2205078852104,679.8074198230636,0.0,4.17107643299955,18.93561790567649,656.7007254843875,93784.48363518785
2024-02-26,56.83174133300781,155.38584899902344,0.2811846399395037,1.5590937945742316,-1836.206038872802,614.2205078852104,82.19290218490949,0.0,4.1744861576860135,19.087548953676876,58.930867073546594,93843.4145022614
2024-02-27,56.48537826538086,155.2935028076172,-0.034288144469755366,1.1108876615429484,-1836.206038872802,614.2205078852104,579.2730318323083,0.0,4.1410629617192845,18.936741089356108,556.1952277812329,94399.60973004263
2024-02-28,56.541542053222656,154.2499542236328,0.3709480936790044,1.5764638257365104,-1836.206038872802,614.2205078852104,-744.0972276588533,0.0,4.115825106305827,18.925486937652376,-767.1385397028115,93632.47119033983
2024-02-29,56.18581771850586,153.85447692871094,0.14751297912679462,1.243482650735326,-1836.206038872802,614.2205078852104,410.2729066370092,0.0,4.11991749862333,18.79831056041869,387.35467857796715,94019.82586891779
2024-03-01,55.72711944580078,153.15658569335938,-0.07773703126377285,0.9256756676290339,-1836.206038872802,614.2205078852104,413.6054293353142,0.0,4.093997531497101,18.75011407927901,390.7613177245381,94410.58718664233
2024-03-04,55.98923873901367,153.8824005126953,-0.05840658501317364,0.9201630422009378,-1836.206038872802,614.2205078852104,-35.49468213944874,0.0,4.060574335530371,18.665062668757923,-58.22031914373703,94352.36686749858
2024-03-05,55.71776580810547,150.78372192382812,0.7066446520284231,1.8397899443940797,-1836.206038872802,614.2205078852104,-1404.7917015028895,0.0,4.079673741447141,18.75351710267918,-1427.6248923470157,92924.74197515157
2024-03-06,55.74584197998047,151.67701721191406,0.4359088856329052,1.4283930872090276,-1836.206038872802,614.2205078852104,497.1266491943041,0.0,4.059892779735865,18.37588378191985,474.69087263264834,93399.43284778422
2024-03-07,55.64287185668945,151.77938842773438,0.2986950561113062,1.2110614056788886,-1836.206038872802,614.2205078852104,251.9528623844187,0.0,4.061938558955916,18.484748917939612,229.40617490752317,93628.83902269174
2024-03-08,55.71776580810547,151.7235565185547,0.3922650726782706,1.2846636256258888,-1836.206038872802,614.2205078852104,-171.81382947768273,0.0,4.05443560807455,18.497224810831277,-194.36548989658857,93434.47353279515
2024-03-11,56.39176940917969,153.28684997558594,0.5433388495260019,1.4179892777066734,-1836.206038872802,614.2205078852104,-277.4025813631348,0.0,4.059892779735865,18.490420623606564,-299.95289476647724,93134.52063802867
2024-03-12,56.63515853881836,153.1100311279297,0.8458748069780597,1.7170292908581584,-1836.206038872802,614.2205078852104,-555.5183520496241,0.0,4.109004267137234,18.6809378658985,-578.3082941826599,92556.21234384601
2024-03-13,57.21554946899414,153.8172607421875,1.1896937383341637,2.0405694833444223,-1836.206038872802,614.2205078852104,-631.3223980348773,0.0,4.126738893710191,18.659389103515345,-654.1085260321029,91902.10381781391
2024-03-14,57.088165283203125,153.33338928222656,1.2241670824698048,1.9763628595291831,-1836.206038872802,614.2205078852104,-63.3001626820074,0.0,4.169029263983832,18.745578574321076,-86.2147705203123,91815.8890472936
2024-03-15,56.50313186645508,153.2217254638672,0.6764857960236554,1.288555680787169,-1836.206038872802,614.2205078852104,1005.6556855500552,0.0,4.159747374650247,18.68660957156545,982.8093286038395,92798.69837589744
2024-03-18,56.73902893066406,159.3632354736328,-1.1419843063714055,-0.7153112603843051,-1836.206038872802,614.2205078852104,3339.0857835274433,0.0,4.117118728111551,18.67300119711603,3316.295663602216,96114.99403949965
2024-03-19,56.83338928222656,159.86573791503906,-1.2157136453120287,-0.802109074713017,-1836.206038872802,614.2205078852104,135.38225740488193,0.0,4.134307442946983,19.421461791834346,111.8264881701006,96226.82052766976
2024-03-20,57.324066162109375,159.92156982421875,-0.743712830580165,-0.30639528380906533,-1836.206038872802,614.2205078852104,-866.6907463635362,0.0,4.141183040064809,19.482701336432385,-890.3146307400333,95336.50589692972
2024-03-21,57.05985641479492,160.4705810546875,-1.1915697011881505,-0.834130278372698,-1836.206038872802,614.2205078852104,822.3574903610559,0.0,4.176936367444813,19.489505523657098,798.691048469954,96135.19694539967
2024-03-22,57.078731536865234,160.07044982910156,-1.038848594845291,-0.6832046870469084,-1836.206038872802,614.2205078852104,-280.4274177300953,0.0,4.1576846399230725,19.55641305477083,-304.1415154247892,95831.05542997488
2024-03-25,56.99380111694336,160.61016845703125,-1.3043177139893842,-1.0211450940528448,-1836.206038872802,614.2205078852104,487.45599970663136,0.0,4.159059981713945,19.507649403064455,463.78929032185295,96294.84472029674
2024-03-26,57.12590789794922,160.73114013671875,-1.2126765915013422,-0.9441640832868092,-1836.206038872802,614.2205078852104,-168.27198252162253,0.0,4.152871499573288,19.573424452620426,-191.99827847381624,96102.84644182293
2024-03-27,57.58827590942383,161.51278686523438,-1.011773492139973,-0.7351234988965046,-1836.206038872802,614.2205078852104,-368.8994842756064,0.0,4.162497502313724,19.58816716820324,-392.6501489461234,95710.1962928768
2024-03-28,57.72982406616211,162.85272216796875,-1.3184406907351587,-1.1457584134098446,-1836.206038872802,614.2205078852104,563.104161984685,0.0,4.196188094966553,19.683425789349204,539.2245481003691,96249.42084097717
2024-04-01,57.25801467895508,160.96377563476562,-1.1583875993151977,-0.9847851097863523,-1836.206038872802,614.2205078852104,-293.89045300560406,0.0,4.206502046561559,19.846722563591037,-317.94367761575666,95931.47716336141
2024-04-02,56.75790786743164,159.53076171875,-1.179143773345892,-1.0487648318050258,-1836.206038872802,614.2205078852104,38.11261209906684,0.0,4.172123505054161,19.616518258235473,14.323970335777204,95945.8011336972
2024-04-03,56.45594787597656,157.89300537109375,-0.9332657148470744,-0.7515147026616545,-1836.206038872802,614.2205078852104,-451.48277584185496,0.0,4.135683062696988,19.44187807265974,-475.0603369772117,95470.74079671998
